               program              observation         number         status
            larccld.fd                GOES_EAST        1050333           read
            larccld.fd                GOES_WEST         827171           read
           metarcld.fd                raw_METAR           5767           read
           metarcld.fd       METAR_on_MPAS_mesh        1056274      processed
          lightning.fd            raw_lightning          33033           read
          lightning.fd   lightning_on_MPAS_mesh           3955      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1056274       ingested
      cloudanalysis.fd                lightning           3955       ingested
      cloudanalysis.fd                     refl             33       ingested
