        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3905649  3905649  3905649  3771742  3771742            5     0.308389     0.308389
     adpsfc_t181    10608      591      591      588      588       0.7528      1.01573     0.454311
     adpsfc_t183    10608      225      225      223      223   3.2806e+09    0.0328162    0.0148013
     adpsfc_t187    10608     2107     2107     2107     2107       2.2585     0.127248     0.109104
     adpsfc_q181    10608     3604     3604     3602     3602      914.133    0.0532264    0.0264512
     adpsfc_q183    10608     3827     3827     3823     3823      969.695    0.0146164   0.00676247
     adpsfc_q187    10608     2644     2644     2642     2642      470.487     0.404662      0.25775
    adpsfc_ps181    10608      593      593      584      584      54.9518      1.58859     0.479098
    adpsfc_ps187    10608     1911     1911     1911     1911      54.9945      1.18356     0.300553
    adpsfc_uv281    10608     1154     1154     1142     1142      1.70469     0.459563     0.260316
    adpsfc_uv284    10608      454      454      450      450      1.27788      1.00618     0.461078
    adpsfc_uv287    10608     4186     4186     4174     4174       1.5874     0.483411     0.291293
     adpupa_t120    29583    14092    14092    14088    14088  6.55443e+19     0.058411    0.0308468
     adpupa_q120    29583     6752     6752     6748     6748     0.465602     0.126309    0.0491472
    adpupa_ps120    29583       85       85       85       85      70.1779      1.05532     0.479103
    adpupa_uv220    29583    30920    30920    30906    30906  6.43888e+19     0.393729     0.152634
     aircar_t133    50197    22920    22920    22909    22909     0.924638     0.423438     0.227599
     aircar_q133    50197     1326     1326     1326     1326      0.21824     0.259865     0.143758
    aircar_uv233    50197    46184    46184    46168    46168      2.32657     0.573819     0.259897
     sfcshp_t180     6696     1496     1496     1494     1494  5.17434e+08    0.0538371    0.0323973
     sfcshp_t183     6696       95       95       95       95  1.77705e+09    0.0714912      0.06894
     sfcshp_q180     6696      902      902      900      900   0.00102913     0.356842     0.156438
     sfcshp_q183     6696      521      521      519      519      948.647    0.0896043    0.0544682
    sfcshp_ps180     6696     2220     2220     2210     2210      38.1843      3.49234     0.650576
    sfcshp_uv280     6696     3448     3448     3438     3438      2.64756     0.229279      0.12341
    sfcshp_uv282     6696       86       86       78       78      1.09366      1.19526     0.443281
    sfcshp_uv284     6696      488      488      440      440      1.14184      2.55999     0.628922
