               program              observation         number         status
            larccld.fd                GOES_EAST        1032941           read
            larccld.fd                GOES_WEST         823232           read
           metarcld.fd                raw_METAR           7476           read
           metarcld.fd       METAR_on_MPAS_mesh        1085479      processed
          lightning.fd            raw_lightning           9640           read
          lightning.fd   lightning_on_MPAS_mesh           1188      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           61.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1085479       ingested
      cloudanalysis.fd                lightning           1188       ingested
      cloudanalysis.fd                     refl             33       ingested
