               program              observation         number         status
            larccld.fd                GOES_EAST        1044197           read
            larccld.fd                GOES_WEST         819952           read
           metarcld.fd                raw_METAR           7547           read
           metarcld.fd       METAR_on_MPAS_mesh        1087695      processed
          lightning.fd            raw_lightning          18852           read
          lightning.fd   lightning_on_MPAS_mesh           1307      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           72.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1087695       ingested
      cloudanalysis.fd                lightning           1307       ingested
      cloudanalysis.fd                     refl             33       ingested
