loop1: max_iter=50, norm_reduction(target=0.001, final=0.000836101)
  i                   resNorm                         J                        Jb                      JoJc
  0         1220.153526394251      1676670.047701298026            0.000000000000      1676670.047701298026
  1         1129.867312875180      1670895.676666032989           44.793026730060      1670850.883639303967
  2          821.946595365884      1668363.215643638978          102.745888121511      1668260.469755517086
  3          773.900793203670      1666623.492002994055          173.146343731981      1666450.345659262035
  4          621.050601772804      1664356.004903047113          335.412850831016      1664020.592052215943
  5          619.685472197989      1663091.367745185969          475.344594245765      1662616.023150939960
  6          530.890688936302      1661545.680360740982          721.348050939533      1660824.332309800899
  7          391.796885274110      1660352.035103355069          985.531319162021      1659366.503784192959
  8          362.155850928121      1658990.152536266018         1404.037218328166      1657586.115317937918
  9          360.559997775556      1658343.348842808977         1660.795136279269      1656682.553706529085
 10          329.825388833419      1657784.781781509984         1924.341149921767      1655860.440631588921
 11          279.421410538934      1657275.678844101960         2207.559056446785      1655068.119787656004
 12          215.345917140542      1656808.830651188036         2513.287927958337      1654295.542723228922
 13          206.551796399021      1656444.846886090003         2791.951050142876      1653652.895835947013
 14          156.258810448280      1656104.608628113987         3095.596648817832      1653009.011979296105
 15          152.438609425280      1655854.643079455942         3353.946973545152      1652500.696105910931
 16          122.440296166968      1655686.669966171030         3550.080422724184      1652136.589543446898
 17          100.496569626575      1655532.599628617056         3751.621972227443      1651780.977656388888
 18           80.465540909979      1655406.329382250085         3937.858277011815      1651468.471105237957
 19           73.340221915674      1655316.972931172000         4085.676957730791      1651231.295973441098
 20           65.804493281253      1655263.186804274097         4183.525499572554      1651079.661304700887
 21           51.662511396212      1655220.562809109921         4267.596324792569      1650952.966484318022
 22           43.933459975312      1655190.452918769093         4331.707487520355      1650858.745431249030
 23           39.935381183223      1655166.906432962976         4385.697572134660      1650781.208860829007
 24           34.141507781234      1655150.423328232020         4426.229017595873      1650724.194310636027
 25           26.020078438864      1655137.782138507115         4459.386337099215      1650678.395801407984
 26           23.176357089639      1655128.778362758923         4484.528936660598      1650644.249426099006
 27           19.313981288084      1655121.896965770982         4504.965776002993      1650616.931189768016
 28           17.779846093680      1655117.771615471924         4517.911728607191      1650599.859886864899
 29           13.167191614393      1655114.221689762082         4529.639538811949      1650584.582150950097
 30           12.613343789301      1655111.734807237051         4538.301570631176      1650573.433236605953
 31            9.487834244487      1655110.076861786889         4544.361741200099      1650565.715120587032
 32            8.436546101045      1655108.720754124923         4549.560068261054      1650559.160685864044
 33            7.779937174816      1655107.956110147992         4552.623192297225      1650555.332917849999
 34            6.093330064570      1655107.367199701956         4555.073023634966      1650552.294176066993
 35            5.328255591372      1655106.933930462925         4556.944161336681      1650549.989769126056
 36            4.376119159202      1655106.582607553108         4558.521449592421      1650548.061157960910
 37            3.835666238170      1655106.356244243914         4559.576648593411      1650546.779595650965
 38            2.991585913380      1655106.179452435113         4560.430760696578      1650545.748691737885
 39            2.506836873607      1655106.048909414094         4561.085189978764      1650544.963719435036
 40            2.129780235624      1655105.967936306028         4561.505547251876      1650544.462389054010
 41            1.796670101228      1655105.907071729889         4561.832116424361      1650544.074955306016
 42            1.425795262787      1655105.863094103988         4562.076099677022      1650543.786994426977
 43            1.273384996408      1655105.832832019078         4562.249608025153      1650543.583223993890
 44            1.020171957720      1655105.812883685110         4562.367561219493      1650543.445322466083

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000989967)
  i                   resNorm                         J                        Jb                      JoJc
  0           58.356218786073      1655217.707760433899         4562.367561219493      1650655.340199213941
  1           77.025321261146      1655195.374758945080         4564.221889099267      1650631.152869845973
  2           44.637077729049      1655176.249383558985         4566.466973313938      1650609.782410244923
  3           39.746888397188      1655172.157147892052         4567.008983420241      1650605.148164470913
  4           35.930059663810      1655167.719552380033         4567.753743196958      1650599.965809182962
  5           25.357214277970      1655161.205513715977         4569.159875614955      1650592.045638100011
