        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3892824  3892824  3892824       06       06     0.274994      3760875      3760875
     adpsfc_t181    10843      593      593      589      589       0.7528      1.92499     0.639503
     adpsfc_t183    10843      226      226      224      224      3.13392     0.087108    0.0380979
     adpsfc_t187    10843     2119     2119     2119     2119       2.2585     0.151912     0.122543
     adpsfc_q181    10843     3685     3685     3683     3683      915.788    0.0701834    0.0329624
     adpsfc_q183    10843     3907     3907     3903     3903      970.436    0.0156778   0.00907622
     adpsfc_q187    10843     2662     2662     2660     2660      469.692     0.402614     0.253282
    adpsfc_ps181    10843      596      596      583      583      55.0772      1.48029     0.425495
    adpsfc_ps187    10843     1951     1951     1951     1951      54.9453       1.5024     0.290849
    adpsfc_uv281    10843     1162     1162     1156     1156      1.70513     0.467219     0.240596
    adpsfc_uv284    10843      456      456      450      450      1.28118     0.780313     0.335384
    adpsfc_uv287    10843     4176     4176     4170     4170       1.5874     0.475584     0.287119
     adpupa_t120    32678    15602    15602    15543    15543      5.54193    0.0630816    0.0345476
     adpupa_q120    32678     8089     8089     8089     8089     0.935028     0.114669    0.0456216
    adpupa_ps120    32678       92       92       91       91      70.2827     0.801218     0.363995
    adpupa_uv220    32678    34082    34082    33948    33948      5.94145     0.504957     0.188168
     aircar_t133    54205    24375    24375    24370    24370      1.02635      0.37917     0.199573
     aircar_q133    54205     1723     1723     1723     1723      0.31292     0.388081     0.218071
    aircar_uv233    54205    48876    48876    48866    48866      2.34185     0.502925     0.237591
     sfcshp_t180     6507     1414     1414     1414     1414       5.3187    0.0372756    0.0286865
     sfcshp_t183     6507       97       97       97       97      1.75863    0.0499506    0.0394361
     sfcshp_q180     6507      798      798      798      798  0.000982789     0.511444     0.192597
     sfcshp_q183     6507      482      482      482      482      942.477    0.0771749    0.0577229
    sfcshp_ps180     6507     2136     2136     2130     2129      38.1641      3.47302     0.655158
    sfcshp_uv280     6507     3264     3264     3264     3264      2.64804     0.238666     0.139233
    sfcshp_uv282     6507       72       72       72       72      1.10001      2.26611     0.278123
    sfcshp_uv284     6507      464      464      432      432      1.14009      1.73908     0.465912
