               program              observation         number         status
            larccld.fd                GOES_EAST        1047983           read
            larccld.fd                GOES_WEST         825492           read
           metarcld.fd                raw_METAR           5469           read
           metarcld.fd       METAR_on_MPAS_mesh        1060083      processed
          lightning.fd            raw_lightning          30445           read
          lightning.fd   lightning_on_MPAS_mesh           2214      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1060083       ingested
      cloudanalysis.fd                lightning           2214       ingested
      cloudanalysis.fd                     refl             33       ingested
