        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3923098  3923098  3923098  3788280  3788280            5     0.390272     0.390272
     adpsfc_t181     8870      381      381      369      369       0.7528      2.61023     0.709379
     adpsfc_t183     8870      216      216      214      214  3.41793e+09    0.0918214    0.0300878
     adpsfc_t187     8870     2126     2126     2121     2121       2.2585       0.2417        0.158
     adpsfc_q181     8870     3202     3202     3199     3199      938.456    0.0629163    0.0341986
     adpsfc_q183     8870     3416     3416     3411     3411      967.457    0.0172199   0.00818529
     adpsfc_q187     8870     2463     2463     2460     2460      390.564     0.480459     0.297409
    adpsfc_ps181     8870      382      382      380      380      55.5045      1.76919     0.298175
    adpsfc_ps187     8870     1874     1874     1874     1874      54.7802      1.89915     0.325724
    adpsfc_uv281     8870      668      668      654      654      1.72377     0.961411     0.444982
    adpsfc_uv284     8870      428      428      414      414      1.28709      1.68483     0.597116
    adpsfc_uv287     8870     3974     3974     3950     3950       1.5874     0.769173     0.452685
     adpupa_t120      119       56       56       56       56      1.63307     0.197197     0.146895
     adpupa_q120      119       26       26       26       26   0.00117883    0.0157005    0.0152191
    adpupa_ps120      119        1        1        1        1       69.529    0.0150492     0.439824
    adpupa_uv220      119      122      122      122      122      2.64401     0.551076     0.402831
     aircar_t133    54664    23502    23502    23474    23474     0.973095     0.379629     0.215809
     aircar_q133    54664     1907     1907     1907     1907     0.203971     0.226476     0.125938
    aircar_uv233    54664    47446    47446    47414    47414      2.33469     0.420629     0.223414
     sfcshp_t180     3358      722      722      722      722  6.44603e+08    0.0906881     0.081005
     sfcshp_t183     3358       55       55       55       55   1.3484e+09    0.0998186     0.106055
     sfcshp_q180     3358      500      500      500      500    0.0011349     0.532069     0.335774
     sfcshp_q183     3358      324      324      324      324      933.655     0.147317    0.0991338
    sfcshp_ps180     3358     1329     1329     1323     1322       38.295      4.12684     0.757688
    sfcshp_uv280     3358     2126     2126     2126     2126      2.65014     0.270703     0.131635
    sfcshp_uv282     3358       50       50       50       50      1.07942     0.940368     0.336123
    sfcshp_uv284     3358      272      272      270      270      1.13093      1.37964     0.554131
