               program              observation         number         status
            larccld.fd                GOES_EAST        1045288           read
            larccld.fd                GOES_WEST         822684           read
           metarcld.fd                raw_METAR           5925           read
           metarcld.fd       METAR_on_MPAS_mesh        1105181      processed
          lightning.fd            raw_lightning          26525           read
          lightning.fd   lightning_on_MPAS_mesh           3165      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           63.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1105181       ingested
      cloudanalysis.fd                lightning           3165       ingested
      cloudanalysis.fd                     refl             33       ingested
