               program              observation         number         status
            larccld.fd                GOES_EAST        1039349           read
            larccld.fd                GOES_WEST         821224           read
           metarcld.fd                raw_METAR           5587           read
           metarcld.fd       METAR_on_MPAS_mesh        1097518      processed
          lightning.fd            raw_lightning          44678           read
          lightning.fd   lightning_on_MPAS_mesh           6462      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           63.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1097518       ingested
      cloudanalysis.fd                lightning           6462       ingested
      cloudanalysis.fd                     refl             33       ingested
