               program              observation         number         status
            larccld.fd                GOES_EAST        1046178           read
            larccld.fd                GOES_WEST         823617           read
           metarcld.fd                raw_METAR           6152           read
           metarcld.fd       METAR_on_MPAS_mesh        1114225      processed
          lightning.fd            raw_lightning          30291           read
          lightning.fd   lightning_on_MPAS_mesh           3417      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1114225       ingested
      cloudanalysis.fd                lightning           3417       ingested
      cloudanalysis.fd                     refl             33       ingested
