               program              observation         number         status
            larccld.fd                GOES_EAST        1043049           read
            larccld.fd                GOES_WEST         824667           read
           metarcld.fd                raw_METAR           5505           read
           metarcld.fd       METAR_on_MPAS_mesh        1064685      processed
          lightning.fd            raw_lightning          58463           read
          lightning.fd   lightning_on_MPAS_mesh           2499      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           72.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1064685       ingested
      cloudanalysis.fd                lightning           2499       ingested
      cloudanalysis.fd                     refl             33       ingested
