        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3872774  3872774  3872774  3740066  3740066            5     0.323987     0.323987
     adpsfc_t181     9074      569      569      551      551       0.7528      1.88935     0.764493
     adpsfc_t183     9074      217      217      215      215  3.27073e+09     0.124809    0.0662063
     adpsfc_t187     9074     2064     2064     2064     2064       2.2585     0.177133     0.147168
     adpsfc_q181     9074     2988     2988     2986     2986      899.535    0.0620436    0.0321781
     adpsfc_q183     9074     3203     3203     3199     3199      965.169     0.018368   0.00956011
     adpsfc_q187     9074     2576     2576     2574     2574      468.043     0.396119     0.261033
    adpsfc_ps181     9074      568      568      559      558        55.23      1.48588     0.475108
    adpsfc_ps187     9074     1946     1946     1946     1946      54.9966      1.38192     0.302867
    adpsfc_uv281     9074     1120     1120     1114     1114      1.70384     0.481576     0.225964
    adpsfc_uv284     9074      430      430      422      422      1.28426      1.04108      0.31613
    adpsfc_uv287     9074     4108     4108     4100     4100       1.5874     0.510589      0.27749
     adpupa_t120     1413      675      675      675      675       3.2082    0.0475279    0.0229119
     adpupa_q120     1413      399      399      399      399   0.00213571    0.0624291    0.0366354
    adpupa_ps120     1413        5        5        5        5      70.9746     0.720144     0.230303
    adpupa_uv220     1413     1468     1468     1468     1468      2.61802     0.222535    0.0902444
     aircar_t133     7960     2903     2903     2899     2899     0.955929     0.363238     0.198694
     aircar_q133     7960       85       85       85       85     0.299436     0.216517     0.142223
    aircar_uv233     7960     6056     6056     6050     6050      2.33442     0.388751     0.154232
     sfcshp_t180     3227      678      678      677      677  6.65681e+08    0.0539931    0.0469052
     sfcshp_t183     3227       45       45       45       45  1.49071e+09    0.0386286    0.0266235
     sfcshp_q180     3227      477      477      476      476    0.0010184     0.438849     0.304016
     sfcshp_q183     3227      308      308      307      307      945.502    0.0467429    0.0335051
    sfcshp_ps180     3227     1288     1288     1276     1276      38.1977      4.10095     0.804665
    sfcshp_uv280     3227     2040     2040     2036     2036      2.64854     0.299094     0.158899
    sfcshp_uv282     3227       40       40       40       40      1.07919     0.849135     0.149905
    sfcshp_uv284     3227      234      234      230      228      1.12653      1.09023     0.303729
