               program              observation         number         status
            larccld.fd                GOES_EAST        1043179           read
            larccld.fd                GOES_WEST         822825           read
           metarcld.fd                raw_METAR           5762           read
           metarcld.fd       METAR_on_MPAS_mesh        1116643      processed
          lightning.fd            raw_lightning          32661           read
          lightning.fd   lightning_on_MPAS_mesh           3010      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           58.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1116643       ingested
      cloudanalysis.fd                lightning           3010       ingested
      cloudanalysis.fd                     refl             33       ingested
