        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3878801  3878801  3878801  3747227  3747227            5     0.302676     0.302676
     adpsfc_t181     9020      371      371      358      358       0.7528      2.42719     0.637469
     adpsfc_t183     9020      215      215      213      213  3.28605e+09    0.0803415    0.0436686
     adpsfc_t187     9020     2104     2104     2099     2099       2.2585     0.199937     0.146134
     adpsfc_q181     9020     3101     3101     3098     3098      937.963    0.0606665     0.038239
     adpsfc_q183     9020     3314     3314     3309     3309      966.625    0.0163315   0.00819662
     adpsfc_q187     9020     2432     2432     2429     2429      388.316     0.456457     0.296111
    adpsfc_ps181     9020      372      372      370      370      55.8654      1.01566     0.243422
    adpsfc_ps187     9020     2011     2011     2011     2011      54.7052      1.41242     0.296569
    adpsfc_uv281     9020      650      650      644      644      1.72229     0.614256     0.281481
    adpsfc_uv284     9020      426      426      414      414      1.28365      1.27821     0.480314
    adpsfc_uv287     9020     3830     3830     3810     3810       1.5874     0.626871     0.395348
     adpupa_t120     6801     1675     1675     1675     1675  9.48909e+19     0.172254     0.112922
     adpupa_q120     6801      178      178      178      178  0.000818376     0.130131    0.0813543
    adpupa_ps120     6801        1        1        1        1      76.2505     0.854471     0.874138
    adpupa_uv220     6801     5566     5566     5566     5566  1.17081e+20     0.412417     0.267352
     aircar_t133    60148    25343    25343    25317    25316     0.948112     0.305658     0.175771
     aircar_q133    60148     1993     1993     1993     1993     0.239005     0.205459     0.126745
    aircar_uv233    60148    51038    51038    50988    50988      2.32994      0.33875     0.181374
     sfcshp_t180     3211      673      673      673      673  5.45139e+08     0.102491     0.096247
     sfcshp_t183     3211       42       42       42       42  1.54303e+09     0.285074     0.222859
     sfcshp_q180     3211      472      472      472      472   0.00109926     0.449601     0.280864
     sfcshp_q183     3211      286      286      286      286      945.154     0.500012     0.479478
    sfcshp_ps180     3211     1283     1283     1278     1278      38.2283      3.87993     0.736085
    sfcshp_uv280     3211     2092     2092     2092     2092      2.64963     0.218098     0.125364
    sfcshp_uv282     3211       30       30       30       30      1.07925     0.271165     0.178235
    sfcshp_uv284     3211      236      236      230      230      1.10909      1.53615      0.64475
