               program              observation         number         status
            larccld.fd                GOES_EAST        1043560           read
            larccld.fd                GOES_WEST         823535           read
           metarcld.fd                raw_METAR           5479           read
           metarcld.fd       METAR_on_MPAS_mesh        1099380      processed
          lightning.fd            raw_lightning          24519           read
          lightning.fd   lightning_on_MPAS_mesh           2895      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           70.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1099380       ingested
      cloudanalysis.fd                lightning           2895       ingested
      cloudanalysis.fd                     refl             33       ingested
