        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9539     3579      368      365      365       0.7528      1.29573     0.592867
     adpsfc_t183     9539     3579      215      213      213  3.28605e+09     0.098403     0.047157
     adpsfc_t187     9539     2696     2071     2071     2071       2.2585     0.211322     0.178867
     adpsfc_q181     9539     3483     3231     3229     3229      941.009    0.0577769    0.0252628
     adpsfc_q183     9539     3483     3440     3436     3436       968.44    0.0221805    0.0105652
     adpsfc_q187     9539     2638     2389     2387     2387      390.113     0.416003     0.266577
    adpsfc_ps181     9539     7266      369      366      366      55.2986      1.32515     0.325898
    adpsfc_ps187     9539     2749     1962     1962     1962      55.0741      1.01065     0.290155
    adpsfc_uv281     9539     7086      714      710      710      1.72134     0.515479     0.229356
    adpsfc_uv284     9539     9124      426      420      420      1.28537      1.06738     0.382303
    adpsfc_uv287     9539     5350     4134     4126     4126       1.5874     0.503449     0.278752
     aircar_t133     8260     3216     3216     3213     3213       0.9642     0.342894     0.176042
     aircar_q133     8260       99       99       99       99   0.00183339     0.377968     0.143652
    aircar_uv233     8260     6494     6494     6486     6486      2.33284     0.625234     0.213857
     sfcshp_t180     2888      752      546      544      544  7.42611e+08    0.0558842    0.0451341
     sfcshp_t183     2888      308       56       55       55   2.3355e+09    0.0921291     0.096821
     sfcshp_q180     2888      449      351      349      349   0.00108559     0.325273     0.204399
     sfcshp_q183     2888      247      241      239      239      916.146     0.167523      0.11958
    sfcshp_ps180     2888     2864     1128     1115     1115      38.3197      3.17063     0.752756
    sfcshp_uv280     2888     2450     1736     1728     1728       2.6547       0.1998     0.129281
    sfcshp_uv282     2888     2450       36       36       36      1.07921      1.01317     0.191736
    sfcshp_uv284     2888     2450      286      266      266      1.13178      1.88681     0.672914
