        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9497     3665      370      365      365       0.7528      1.65759     0.786838
     adpsfc_t183     9497     3665      216      214      214  3.27836e+09    0.0955851    0.0665141
     adpsfc_t187     9497     2712     2079     2079     2079       2.2585     0.275834     0.235888
     adpsfc_q181     9497     3559     3297     3295     3295      942.045    0.0464575     0.022316
     adpsfc_q183     9497     3559     3509     3505     3505      968.611    0.0172222   0.00950763
     adpsfc_q187     9497     2654     2397     2395     2395      389.995     0.427967     0.254999
    adpsfc_ps181     9497     7406      371      368      368      55.5196      1.36947     0.331878
    adpsfc_ps187     9497     2757     1960     1960     1960      55.1467      1.67707     0.294957
    adpsfc_uv281     9497     7238      718      712      712      1.71812     0.491173     0.219288
    adpsfc_uv284     9497     9092      428      422      422      1.28332     0.912086     0.322678
    adpsfc_uv287     9497     5358     4132     4130     4130       1.5874     0.457442     0.253784
     aircar_t133    11079     4031     4031     4026     4026     0.952992     0.432176     0.232661
     aircar_q133    11079      307      307      307      307     0.638102      0.61882     0.270739
    aircar_uv233    11079     8174     8174     8162     8162       2.3305      0.53052     0.191662
     sfcshp_t180     2972      793      585      581      581   8.2974e+08     0.100897    0.0762492
     sfcshp_t183     2972      314       59       59       59  1.30189e+09     0.415307     0.337277
     sfcshp_q180     2972      488      385      382      382   0.00108288     0.729727     0.435775
     sfcshp_q183     2972      253      245      242      242      908.182     0.130815     0.089355
    sfcshp_ps180     2972     2956     1180     1170     1170      38.2895      4.05906     0.746022
    sfcshp_uv280     2972     2560     1830     1824     1824        2.654     0.225824     0.129737
    sfcshp_uv282     2972     2560       36       36       36      1.07921      1.31706     0.192282
    sfcshp_uv284     2972     2560      296      296      296      1.11947     0.751583     0.258503
