               program              observation         number         status
            larccld.fd                GOES_EAST        1044288           read
            larccld.fd                GOES_WEST         823567           read
           metarcld.fd                raw_METAR           5333           read
           metarcld.fd       METAR_on_MPAS_mesh        1104646      processed
          lightning.fd            raw_lightning          60467           read
          lightning.fd   lightning_on_MPAS_mesh           7994      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1104646       ingested
      cloudanalysis.fd                lightning           7994       ingested
      cloudanalysis.fd                     refl             33       ingested
