               program              observation         number         status
            larccld.fd                GOES_EAST        1040298           read
            larccld.fd                GOES_WEST         823677           read
           metarcld.fd                raw_METAR           5450           read
           metarcld.fd       METAR_on_MPAS_mesh        1087316      processed
          lightning.fd            raw_lightning          50246           read
          lightning.fd   lightning_on_MPAS_mesh           5257      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1087316       ingested
      cloudanalysis.fd                lightning           5257       ingested
      cloudanalysis.fd                     refl             33       ingested
