loop1: max_iter=50, norm_reduction(target=0.001, final=0.000960966)
  i                   resNorm                         J                        Jb                      JoJc
  0         1308.850536717535      1092724.372927329037            0.000000000000      1092724.372927329037
  1          701.335052744277      1087925.353108945070           26.887781589012      1087898.465327356011
  2          494.262545663600      1086111.309805714060           64.437548901238      1086046.872256813105
  3          369.804214325201      1085348.882736034924           95.259058904597      1085253.623677131021
  4          372.627720767317      1084456.229191106046          162.825904850091      1084293.403286255896
  5          356.459689651547      1083902.734303259058          231.582116052736      1083671.152187206084
  6          251.511024597448      1083352.679185209097          330.440469622177      1083022.238715586951
  7          243.931783362442      1082901.057055694982          444.380193826033      1082456.676861868938
  8          177.973628424991      1082447.230668359902          602.701354417208      1081844.529313941952
  9          161.383753138786      1082146.449146629078          741.356328693443      1081405.092817934928
 10          146.973284076589      1081949.320774283027          853.524340280262      1081095.796434001997
 11          130.854002032878      1081747.922881942010          993.014360383229      1080754.908521557925
 12          102.925697988590      1081608.629580416018         1108.647882985976      1080499.981697429903
 13           82.828497690211      1081499.152734678006         1214.667072677483      1080284.485662000952
 14           72.521480183400      1081417.897565600928         1305.533085007144      1080112.364480593940
 15           61.901049806574      1081358.394517814973         1381.402894574245      1079976.991623240989
 16           54.896072188081      1081317.739997982047         1439.531555814071      1079878.208442168077
 17           43.875040512912      1081287.942558750976         1486.620577027052      1079801.321981723886
 18           37.140853648390      1081260.857679917011         1534.065910439753      1079726.791769478004
 19           30.827851841525      1081244.237784608966         1566.164270076656      1079678.073514532065
 20           29.149890099783      1081233.130531007890         1589.417829850907      1079643.712701156968
 21           22.373801786812      1081223.998000551946         1610.048149896021      1079613.949850656092
 22           18.018468918165      1081217.718822271097         1625.306343527028      1079592.412478744052
 23           17.428021264877      1081213.137562114047         1637.237701192189      1079575.899860922014
 24           12.988999239546      1081209.999231609050         1645.951331881553      1079564.047899727011
 25           11.484109151785      1081207.872710041935         1652.202662710901      1079555.670047330903
 26            9.413135897664      1081206.109477027087         1657.694221667404      1079548.415255358908
 27            7.724369850440      1081204.833509394899         1661.911352911462      1079542.922156484099
 28            7.522441774273      1081204.141953824088         1664.316139578467      1079539.825814245967
 29            6.090479157434      1081203.596645551967         1666.296612930816      1079537.300032621017
 30            4.961367088853      1081203.168181349989         1667.922981525369      1079535.245199824916
 31            4.053270228418      1081202.830605733907         1669.264964925520      1079533.565640809014
 32            3.183128357433      1081202.617842341075         1670.149051692994      1079532.468790648039
 33            2.940799205793      1081202.458342465106         1670.840679678954      1079531.617662786040
 34            2.397896141582      1081202.365700738970         1671.258371035813      1079531.107329702936
 35            2.187731229564      1081202.287025298923         1671.626435953076      1079530.660589345964
 36            1.675177726068      1081202.233618075028         1671.885791367314      1079530.347826708108
 37            1.434692121920      1081202.188977842918         1672.110977975579      1079530.077999867965
 38            1.257760506418      1081202.166309803957         1672.229348012641      1079529.936961791012

loop2: max_iter=50, norm_reduction(target=0.001, final=0.000845614)
  i                   resNorm                         J                        Jb                      JoJc
  0           38.568633766103      1081219.203155535972         1672.229348012641      1079546.973807523958
  1           36.452812378822      1081212.979687012965         1672.483563855234      1079540.496123156976
