        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3879392  3879392  3879392  3744953  3744953            5     0.345944     0.345944
     adpsfc_t181     9878      367      367      364      364       0.7528      1.46141     0.609134
     adpsfc_t183     9878      214      214      212      212  3.29379e+09     0.118879     0.057877
     adpsfc_t187     9878     2057     2057     2057     2057       2.2585     0.191283      0.15748
     adpsfc_q181     9878     3301     3301     3299     3299      942.437    0.0527681    0.0289502
     adpsfc_q183     9878     3512     3512     3508     3508      968.784    0.0178294   0.00860277
     adpsfc_q187     9878     2361     2361     2359     2359      391.882     0.413509     0.253569
    adpsfc_ps181     9878      368      368      366      366      55.5522     0.871869     0.277767
    adpsfc_ps187     9878     1922     1922     1922     1922      55.0548      1.06457     0.283451
    adpsfc_uv281     9878      654      654      648      648      1.72396     0.573337     0.228177
    adpsfc_uv284     9878      424      424      414      414      1.28786     0.940906     0.324824
    adpsfc_uv287     9878     4106     4106     4106     4106       1.5874     0.459177       0.2624
     aircar_t133     8222     3385     3385     3381     3381     0.890394     0.334557     0.165492
     aircar_q133     8222       41       41       41       41    0.0022104    0.0474464    0.0323945
    aircar_uv233     8222     6778     6778     6770     6770      2.32197     0.439825      0.17103
     sfcshp_t180     3287      689      689      689      689  9.33181e+08    0.0419121    0.0434977
     sfcshp_t183     3287       57       57       57       57  1.32453e+09    0.0458397    0.0493948
     sfcshp_q180     3287      463      463      463      463   0.00107496      0.42564     0.286912
     sfcshp_q183     3287      306      306      306      306       924.39    0.0449131    0.0368691
    sfcshp_ps180     3287     1295     1295     1287     1287      38.2489      3.20848     0.783592
    sfcshp_uv280     3287     2062     2062     2062     2062      2.64982     0.217322     0.122161
    sfcshp_uv282     3287       36       36       32       32      1.07924     0.948665    0.0584842
    sfcshp_uv284     3287      278      278      278      278      1.12265      1.15809     0.230621
