        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3922740  3922740  3922740  3789117  3789117            5     0.229465     0.229465
     adpsfc_t181     9384      575      575      566      566       0.7528      1.64815     0.685262
     adpsfc_t183     9384      214      214      212      212  3.29379e+09     0.078983    0.0451754
     adpsfc_t187     9384     2062     2062     2062     2062       2.2585     0.185679     0.148988
     adpsfc_q181     9384     3207     3207     3205     3205      905.648     0.069317      0.03402
     adpsfc_q183     9384     3419     3419     3415     3415      967.797     0.016447   0.00833671
     adpsfc_q187     9384     2586     2586     2584     2584       469.61     0.437151     0.237666
    adpsfc_ps181     9384      576      576      567      567      55.2982      1.18728      0.47713
    adpsfc_ps187     9384     1970     1970     1970     1970      55.0653      1.45371     0.282463
    adpsfc_uv281     9384     1130     1130     1126     1126      1.70645     0.473032     0.229344
    adpsfc_uv284     9384      424      424      420      420      1.28516     0.780423     0.341565
    adpsfc_uv287     9384     4102     4102     4100     4100       1.5874     0.435262     0.236224
     adpupa_t120     2095      978      978      978      978      3.20187     0.101604    0.0411713
     adpupa_q120     2095      529      529      529      529    0.0015175     0.127811    0.0333646
    adpupa_ps120     2095        6        6        6        6      70.8912     0.166577     0.502925
    adpupa_uv220     2095     2224     2224     2224     2224      2.61773     0.753693     0.196478
     aircar_t133    12238     5090     5090     5090     5090      1.05913      0.49724     0.228806
     aircar_q133    12238      126      126      126      126   0.00167338     0.337542     0.201854
    aircar_uv233    12238    10344    10344    10338    10338       2.3548      0.60812     0.217258
     sfcshp_t180     3127      673      673      672      672  7.71517e+08     0.065889    0.0626625
     sfcshp_t183     3127       48       48       46       46  1.47442e+09     0.239105      0.23436
     sfcshp_q180     3127      457      457      456      456   0.00108783     0.375284      0.21314
     sfcshp_q183     3127      293      293      292      292      942.672    0.0807279    0.0742528
    sfcshp_ps180     3127      779      779      771      771      38.0539      4.79897     0.729568
    sfcshp_uv280     3127     1298     1298     1296     1296      2.64581     0.260456     0.139259
    sfcshp_uv282     3127       38       38       38       38       1.0792      1.58588     0.301675
    sfcshp_uv284     3127      216      216      216      216      1.13381      1.83442     0.387552
