               program              observation         number         status
            larccld.fd                GOES_EAST        1037571           read
            larccld.fd                GOES_WEST         827761           read
           metarcld.fd                raw_METAR           6586           read
           metarcld.fd       METAR_on_MPAS_mesh        1050414      processed
          lightning.fd            raw_lightning          18179           read
          lightning.fd   lightning_on_MPAS_mesh            903      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           59.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1050414       ingested
      cloudanalysis.fd                lightning            903       ingested
      cloudanalysis.fd                     refl             33       ingested
