               program              observation         number         status
            larccld.fd                GOES_EAST        1047522           read
            larccld.fd                GOES_WEST         824307           read
           metarcld.fd                raw_METAR           5665           read
           metarcld.fd       METAR_on_MPAS_mesh        1053024      processed
          lightning.fd            raw_lightning          40570           read
          lightning.fd   lightning_on_MPAS_mesh           2714      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1053024       ingested
      cloudanalysis.fd                lightning           2714       ingested
      cloudanalysis.fd                     refl             33       ingested
