               program              observation         number         status
            larccld.fd                GOES_EAST        1039444           read
            larccld.fd                GOES_WEST         827176           read
           metarcld.fd                raw_METAR           5371           read
           metarcld.fd       METAR_on_MPAS_mesh        1047724      processed
          lightning.fd            raw_lightning          44470           read
          lightning.fd   lightning_on_MPAS_mesh           5531      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1047724       ingested
      cloudanalysis.fd                lightning           5531       ingested
      cloudanalysis.fd                     refl             33       ingested
