               program              observation         number         status
            larccld.fd                GOES_EAST        1050674           read
            larccld.fd                GOES_WEST         824606           read
           metarcld.fd                raw_METAR           4966           read
           metarcld.fd       METAR_on_MPAS_mesh        1111191      processed
          lightning.fd            raw_lightning          43703           read
          lightning.fd   lightning_on_MPAS_mesh           5514      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1111191       ingested
      cloudanalysis.fd                lightning           5514       ingested
      cloudanalysis.fd                     refl             33       ingested
