               program              observation         number         status
            larccld.fd                GOES_EAST        1053412           read
            larccld.fd                GOES_WEST         820496           read
           metarcld.fd                raw_METAR           5536           read
           metarcld.fd       METAR_on_MPAS_mesh        1056398      processed
          lightning.fd            raw_lightning          33117           read
          lightning.fd   lightning_on_MPAS_mesh           3716      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1056398       ingested
      cloudanalysis.fd                lightning           3716       ingested
      cloudanalysis.fd                     refl             33       ingested
