               program              observation         number         status
            larccld.fd                GOES_EAST        1043086           read
            larccld.fd                GOES_WEST         821524           read
           metarcld.fd                raw_METAR           5256           read
           metarcld.fd       METAR_on_MPAS_mesh        1091712      processed
          lightning.fd            raw_lightning          48195           read
          lightning.fd   lightning_on_MPAS_mesh           5726      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1091712       ingested
      cloudanalysis.fd                lightning           5726       ingested
      cloudanalysis.fd                     refl             33       ingested
