               program              observation         number         status
            larccld.fd                GOES_EAST        1038783           read
            larccld.fd                GOES_WEST         827340           read
           metarcld.fd                raw_METAR           5747           read
           metarcld.fd       METAR_on_MPAS_mesh        1054323      processed
          lightning.fd            raw_lightning          20455           read
          lightning.fd   lightning_on_MPAS_mesh           2457      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1054323       ingested
      cloudanalysis.fd                lightning           2457       ingested
      cloudanalysis.fd                     refl             33       ingested
