               program              observation         number         status
            larccld.fd                GOES_EAST        1051310           read
            larccld.fd                GOES_WEST         826565           read
           metarcld.fd                raw_METAR           5655           read
           metarcld.fd       METAR_on_MPAS_mesh        1063317      processed
          lightning.fd            raw_lightning          38237           read
          lightning.fd   lightning_on_MPAS_mesh           2402      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1063317       ingested
      cloudanalysis.fd                lightning           2402       ingested
      cloudanalysis.fd                     refl             33       ingested
