               program              observation         number         status
            larccld.fd                GOES_EAST        1043357           read
            larccld.fd                GOES_WEST         826407           read
           metarcld.fd                raw_METAR           5559           read
           metarcld.fd       METAR_on_MPAS_mesh        1106012      processed
          lightning.fd            raw_lightning          33511           read
          lightning.fd   lightning_on_MPAS_mesh           4036      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1106012       ingested
      cloudanalysis.fd                lightning           4036       ingested
      cloudanalysis.fd                     refl             33       ingested
