               program              observation         number         status
            larccld.fd                GOES_EAST        1042542           read
            larccld.fd                GOES_WEST         825501           read
           metarcld.fd                raw_METAR           4725           read
           metarcld.fd       METAR_on_MPAS_mesh        1018420      processed
          lightning.fd            raw_lightning          23506           read
          lightning.fd   lightning_on_MPAS_mesh           1793      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           75.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1018420       ingested
      cloudanalysis.fd                lightning           1793       ingested
      cloudanalysis.fd                     refl             33       ingested
