        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3883264  3883264  3883264  3746826  3746826            5     0.349784     0.349784
     adpsfc_t181     9688      377      377      371      371       0.7528      2.94804     0.665944
     adpsfc_t183     9688      213      213      211      211   3.3726e+09     0.109233     0.039031
     adpsfc_t187     9688     2109     2109     2108     2108       2.2585     0.248965     0.150888
     adpsfc_q181     9688     3355     3355     3352     3352      941.778    0.0700403    0.0385041
     adpsfc_q183     9688     3566     3566     3561     3561       969.24      0.01568   0.00603092
     adpsfc_q187     9688     2440     2440     2437     2437      390.834     0.679441     0.319022
    adpsfc_ps181     9688      378      378      376      376      55.6056     0.785471     0.235539
    adpsfc_ps187     9688     1949     1949     1949     1949       54.895      1.06794     0.293703
    adpsfc_uv281     9688      656      656      652      652      1.72172      0.64494     0.344581
    adpsfc_uv284     9688      422      422      418      418      1.28594      1.24054     0.466679
    adpsfc_uv287     9688     3990     3990     3982     3982       1.5874     0.641389      0.38786
     adpupa_t120      127       67       67       67       67      2.58737     0.122764    0.0894121
     adpupa_q120      127       59       59       59       59   0.00198628     0.171145     0.120307
    adpupa_ps120      127        2        2        2        2      69.8782     0.263714     0.313016
    adpupa_uv220      127      112      112      112      112      2.52568     0.290278     0.174993
     aircar_t133    55182    23716    23716    23701    23701     0.999666     0.424669     0.228143
     aircar_q133    55182     1886     1886     1886     1886     0.249123     0.387984     0.224708
    aircar_uv233    55182    47696    47696    47638    47638      2.34066     0.616747     0.252607
     sfcshp_t180     2857      590      590      589      589  7.13679e+08     0.210556     0.142781
     sfcshp_t183     2857       43       43       41       41  1.56174e+09      0.38781     0.199907
     sfcshp_q180     2857      385      385      384      384    0.0011132     0.996163     0.490247
     sfcshp_q183     2857      248      248      247      247      938.524     0.247682     0.164811
    sfcshp_ps180     2857      682      682      674      674       38.117       3.1765     0.849075
    sfcshp_uv280     2857     1092     1092     1090     1090      2.64946     0.326872     0.193108
    sfcshp_uv282     2857       30       30       30       30      1.07925      1.35549     0.466323
    sfcshp_uv284     2857      208      208      202      202      1.14311      1.81416     0.726333
