               program              observation         number         status
            larccld.fd                GOES_EAST        1043150           read
            larccld.fd                GOES_WEST         823792           read
           metarcld.fd                raw_METAR           5653           read
           metarcld.fd       METAR_on_MPAS_mesh        1097876      processed
          lightning.fd            raw_lightning          48858           read
          lightning.fd   lightning_on_MPAS_mesh           5639      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           71.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1097876       ingested
      cloudanalysis.fd                lightning           5639       ingested
      cloudanalysis.fd                     refl             33       ingested
