               program              observation         number         status
            larccld.fd                GOES_EAST        1047690           read
            larccld.fd                GOES_WEST         823463           read
           metarcld.fd                raw_METAR           5745           read
           metarcld.fd       METAR_on_MPAS_mesh        1112078      processed
          lightning.fd            raw_lightning          13061           read
          lightning.fd   lightning_on_MPAS_mesh           1217      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1112078       ingested
      cloudanalysis.fd                lightning           1217       ingested
      cloudanalysis.fd                     refl             33       ingested
