               program              observation         number         status
            larccld.fd                GOES_EAST        1042014           read
            larccld.fd                GOES_WEST         825956           read
           metarcld.fd                raw_METAR           5268           read
           metarcld.fd       METAR_on_MPAS_mesh        1098530      processed
          lightning.fd            raw_lightning          33991           read
          lightning.fd   lightning_on_MPAS_mesh           3798      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           63.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1098530       ingested
      cloudanalysis.fd                lightning           3798       ingested
      cloudanalysis.fd                     refl             33       ingested
