        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     8761     3332      376      371      371       0.7528       1.6617     0.548886
     adpsfc_t183     8761     3332      214      212      212  3.43401e+09    0.0625463    0.0334704
     adpsfc_t187     8761     2748     2116     2114     2114       2.2585     0.198333     0.142313
     adpsfc_q181     8761     3264     3009     3006     3006      935.145    0.0697111    0.0391646
     adpsfc_q183     8761     3264     3220     3215     3215      965.983    0.0201196    0.0100207
     adpsfc_q187     8761     2701     2449     2446     2446      389.591     0.460359     0.305502
    adpsfc_ps181     8761     6711      377      374      374      55.4727      1.08692     0.275155
    adpsfc_ps187     8761     2801     2013     2013     2013      54.7809      1.47801     0.317042
    adpsfc_uv281     8761     6350      662      654      654      1.72117     0.847069     0.345097
    adpsfc_uv284     8761     8124      424      406      406      1.28889      1.15228       0.3627
    adpsfc_uv287     8761     5236     4074     4056     4056       1.5874     0.693469     0.413306
     aircar_t133    57884    25082    25082    25073    25073      1.01472     0.331759      0.19848
     aircar_q133    57884     2403     2403     2403     2403     0.289606       0.4211     0.242694
    aircar_uv233    57884    50682    50682    50654    50654      2.34155     0.400695     0.220863
     sfcshp_t180     3241      901      681      680      680  8.57493e+08    0.0933211    0.0753332
     sfcshp_t183     3241      394       45       45       45  2.10819e+09     0.525444     0.409094
     sfcshp_q180     3241      559      477      476      476   0.00120672     0.625859     0.360543
     sfcshp_q183     3241      305      296      295      295      948.627     0.296699     0.201478
    sfcshp_ps180     3241     3216     1284     1278     1278       38.296      3.30527     0.841909
    sfcshp_uv280     3241     2768     2054     2052     2052      2.65387     0.305693     0.168977
    sfcshp_uv282     3241     2768       46       46       46      1.07916     0.966811     0.375624
    sfcshp_uv284     3241     2768      236      218      218      1.12902      2.13982     0.663507
