               program              observation         number         status
            larccld.fd                GOES_EAST        1049091           read
            larccld.fd                GOES_WEST         821566           read
           metarcld.fd                raw_METAR           4649           read
           metarcld.fd       METAR_on_MPAS_mesh        1103682      processed
          lightning.fd            raw_lightning          42034           read
          lightning.fd   lightning_on_MPAS_mesh           5764      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           67.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1103682       ingested
      cloudanalysis.fd                lightning           5764       ingested
      cloudanalysis.fd                     refl             33       ingested
