               program              observation         number         status
            larccld.fd                GOES_EAST        1045685           read
            larccld.fd                GOES_WEST         829165           read
           metarcld.fd                raw_METAR           5000           read
           metarcld.fd       METAR_on_MPAS_mesh        1073489      processed
          lightning.fd            raw_lightning          34236           read
          lightning.fd   lightning_on_MPAS_mesh           4335      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1073489       ingested
      cloudanalysis.fd                lightning           4335       ingested
      cloudanalysis.fd                     refl             33       ingested
