loop1: max_iter=50, norm_reduction(target=0.001, final=0.000866646)
  i                   resNorm                         J                        Jb                      JoJc
  0         1581.247496727972      1210507.312346925028            0.000000000000      1210507.312346925028
  1         1102.791303759084      1206362.099399083061           13.744343031471      1206348.355056050932
  2          745.561070364015      1203289.619116090005           57.194988563794      1203232.424127526116
  3          805.602871817222      1201263.409438048024          125.874563931720      1201137.534874116071
  4          617.435841961172      1199295.392202892108          252.015211129754      1199043.376991762081
  5          517.578331877286      1197828.144148709020          403.342189593622      1197424.801959115081
  6          529.465766606456      1196936.698886916973          531.431478479240      1196405.267408438027
  7          390.403828630361      1196369.655797774903          633.261360901767      1195736.394436873030
  8          422.850813399008      1195460.693392096087          846.202712583981      1194614.490679512033
  9          366.266061753966      1194927.642890003975         1006.613107953281      1193921.029782050988
 10          246.616425015658      1194330.639019110939         1227.526445355259      1193103.112573754974
 11          248.079236781748      1193794.156200883910         1476.973323878987      1192317.182877005078
 12          224.774411212465      1193465.027328456054         1662.322585878423      1191802.704742576927
 13          214.452150824971      1193254.704753671074         1797.671539702039      1191457.033213969087
 14          162.426530948352      1193021.766338665970         1967.812700638080      1191053.953638027888
 15          161.784305508594      1192832.002927625086         2126.525711922599      1190705.477215703111
 16          137.029417472112      1192675.205118966987         2275.437530934907      1190399.767588033108
 17          138.795567076573      1192572.155934554990         2384.312036183933      1190187.843898372026
 18          101.692257555137      1192474.418585256906         2497.895079393720      1189976.523505863966
 19           88.711773148757      1192381.300741844112         2618.080068984639      1189763.220672859112
 20           76.434036778468      1192325.646383089945         2697.095921727055      1189628.550461363047
 21           62.656889741160      1192270.303430669010         2783.025297234381      1189487.278133434942
 22           55.040555051917      1192223.713187088957         2862.972245395192      1189360.740941694006
 23           51.519478283530      1192197.257677827962         2912.461018367378      1189284.796659460990
 24           42.607023264545      1192177.443337880075         2952.149865376395      1189225.293472503079
 25           34.492136203709      1192159.736078009009         2990.150943500582      1189169.585134508088
 26           30.957790435406      1192146.255663915072         3021.233689050759      1189125.021974863950
 27           27.596866729834      1192137.756793878041         3042.115673266023      1189095.641120611923
 28           24.216172145557      1192131.324654045980         3058.812135326009      1189072.512518720003
 29           21.204008852623      1192125.875901340973         3073.755556667065      1189052.120344673982
 30           16.988597653869      1192121.997676526895         3084.972235557445      1189037.025440969970
 31           14.872251595163      1192119.079387824982         3093.841427334932      1189025.237960489932
 32           14.298704630193      1192116.980956342071         3100.527995347913      1189016.452960994095
 33           10.811050396013      1192115.459323151037         3105.589962068075      1189009.869361083023
 34            8.598096954592      1192113.927078052890         3110.935170277702      1189002.991907774936
 35            7.633036914060      1192113.030566029949         3114.218317757153      1188998.812248273054
 36            6.343400145067      1192112.301203846000         3117.012627347935      1188995.288576499093
 37            5.434345305383      1192111.812178078108         3118.971276567358      1188992.840901510091
 38            4.578412935978      1192111.467063669115         3120.411283160603      1188991.055780508090
 39            3.715943767876      1192111.175811952911         3121.679180035368      1188989.496631918009
 40            3.161541458304      1192111.000300330110         3122.475194832703      1188988.525105497101
 41            2.633177970219      1192110.881086545996         3123.035605368736      1188987.845481178025
 42            2.236733241738      1192110.785304761957         3123.502527705335      1188987.282777056098
 43            1.798618167510      1192110.725794123951         3123.803005336074      1188986.922788788099
 44            1.607046125141      1192110.682796637993         3124.027282154385      1188986.655514483107
 45            1.370381455284      1192110.653358705109         3124.185740041587      1188986.467618664028

loop2: max_iter=50, norm_reduction(target=0.001, final=0.00123468)
  i                   resNorm                         J                        Jb                      JoJc
  0           34.340871710836      1192227.331202467903         3124.185740041587      1189103.145462427055
  1           45.677078829528      1192201.307870154968         3130.544968046739      1189070.762902108021
  2           30.328644206917      1192198.470483836951         3131.674194709193      1189066.796289128019
  3           32.363164852633      1192191.787243945990         3135.284015783491      1189056.503228161950
  4           31.982792242259      1192187.575470577925         3137.627651393605      1189049.947819184046
  5           30.436174725606      1192183.502817241009         3139.954899766567      1189043.547917474993
  6           27.956491215762      1192180.110633773962         3142.359517214968      1189037.751116558909
  7           22.460845762712      1192178.236887153005         3143.860649875078      1189034.376237278106
  8           25.871007088516      1192176.574635529891         3145.065327961921      1189031.509307567962
  9           21.179793310011      1192173.861778645078         3147.270865476789      1189026.590913167922
 10           19.207181439328      1192172.544027286116         3148.243195029256      1189024.300832255976
 11           21.417902978805      1192170.630884580081         3149.762027985915      1189020.868856593966
 12           15.567932982063      1192168.922539533116         3151.133457224561      1189017.789082308067
 13           14.873719336541      1192167.632099091075         3152.020772901650      1189015.611326189945
 14           13.351262931155      1192165.823279086035         3152.886571312256      1189012.936707773944
 15           10.662140937573      1192164.726415469078         3153.330630856601      1189011.395784612047
 16           11.780034502632      1192163.643275202019         3153.600679999034      1189010.042595203966
 17            8.949724852038      1192162.758480499964         3153.934434258971      1189008.824046240887
 18            8.677147348820      1192162.369748204947         3153.964041558945      1189008.405706645921
 19            7.200394458870      1192161.933389805024         3153.731973594638      1189008.201416210039
 20            5.752448093341      1192161.511683146004         3153.698924472954      1189007.812758672982
 21            5.675656614830      1192161.185521613108         3153.714756307637      1189007.470765304985
 22            4.742007053165      1192160.938423494110         3153.478151654355      1189007.460271839984
 23            3.646402421108      1192160.710040122969         3153.309782397866      1189007.400257725036
 24            3.671546260522      1192160.569253162947         3153.163127824515      1189007.406125338981
 25            3.265476463130      1192160.460290448042         3153.114936321590      1189007.345354126068
 26            2.811933507388      1192160.365243497072         3153.038731674143      1189007.326511821942
 27            2.229537432038      1192160.290798638947         3152.926544800772      1189007.364253838081
 28            1.983659307900      1192160.237017242005         3152.831645543633      1189007.405371699017
