               program              observation         number         status
            larccld.fd                GOES_EAST        1041974           read
            larccld.fd                GOES_WEST         818771           read
           metarcld.fd                raw_METAR           5597           read
           metarcld.fd       METAR_on_MPAS_mesh        1098207      processed
          lightning.fd            raw_lightning          50431           read
          lightning.fd   lightning_on_MPAS_mesh           6937      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1098207       ingested
      cloudanalysis.fd                lightning           6937       ingested
      cloudanalysis.fd                     refl             33       ingested
