               program              observation         number         status
            larccld.fd                GOES_EAST        1052216           read
            larccld.fd                GOES_WEST         822029           read
           metarcld.fd                raw_METAR           5723           read
           metarcld.fd       METAR_on_MPAS_mesh        1054594      processed
          lightning.fd            raw_lightning          46600           read
          lightning.fd   lightning_on_MPAS_mesh           3134      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1054594       ingested
      cloudanalysis.fd                lightning           3134       ingested
      cloudanalysis.fd                     refl             33       ingested
