        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3899935  3899935  3899935  3763973  3763973            5     0.290815     0.290815
     adpsfc_t181    10981      593      593      588      588       0.7528      1.35544     0.554018
     adpsfc_t183    10981      226      226      224      224  3.34077e+09     0.053804    0.0266932
     adpsfc_t187    10981     2095     2095     2095     2095       2.2585     0.127002     0.106593
     adpsfc_q181    10981     3675     3675     3673     3673      915.848    0.0584288    0.0288579
     adpsfc_q183    10981     3897     3897     3893     3893      970.362    0.0146101   0.00772833
     adpsfc_q187    10981     2628     2628     2626     2626      471.918     0.384747     0.227585
    adpsfc_ps181    10981      595      595      587      586      55.1011      1.67801     0.503915
    adpsfc_ps187    10981     1932     1932     1927     1927      55.0308      1.59821     0.319462
    adpsfc_uv281    10981     1156     1156     1152     1152      1.70546     0.521569     0.251859
    adpsfc_uv284    10981      456      456      450      450      1.28118     0.897624      0.37049
    adpsfc_uv287    10981     4152     4152     4132     4132       1.5874     0.484997     0.284082
     adpupa_t120    30649    14514    14514    14508    14508  4.04113e+19    0.0725593    0.0354655
     adpupa_q120    30649     7703     7703     7703     7703     0.662965     0.123975     0.046006
    adpupa_ps120    30649       90       90       90       90      70.5303     0.988079     0.380451
    adpupa_uv220    30649    32184    32184    32160    32160  5.16257e+19     0.607334     0.164178
     aircar_t133    46734    20939    20939    20921    20921      1.05673     0.561571     0.263374
     aircar_q133    46734     1482     1482     1482     1482      0.16753     0.599892     0.277857
    aircar_uv233    46734    42278    42278    42088    42088      2.34672     0.771194     0.297773
     sfcshp_t180     6693     1449     1449     1447     1447  6.95528e+08    0.0840045    0.0637665
     sfcshp_t183     6693       93       93       91       91  1.81568e+09     0.187272     0.144741
     sfcshp_q180     6693      847      847      845      845   0.00108407      0.37635     0.204675
     sfcshp_q183     6693      497      497      495      495      942.936     0.163153    0.0878981
    sfcshp_ps180     6693     2191     2191     2177     2175      38.2079      3.51304     0.730544
    sfcshp_uv280     6693     3414     3414     3400     3400      2.64845     0.361887     0.160831
    sfcshp_uv282     6693       96       96       96       96      1.08289     0.861692     0.240361
    sfcshp_uv284     6693      452      452      448      448      1.13525      1.16308     0.406735
