               program              observation         number         status
            larccld.fd                GOES_EAST        1041885           read
            larccld.fd                GOES_WEST         820239           read
           metarcld.fd                raw_METAR           7289           read
           metarcld.fd       METAR_on_MPAS_mesh        1091297      processed
          lightning.fd            raw_lightning          17262           read
          lightning.fd   lightning_on_MPAS_mesh           2218      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           65.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1091297       ingested
      cloudanalysis.fd                lightning           2218       ingested
      cloudanalysis.fd                     refl             33       ingested
