               program              observation         number         status
            larccld.fd                GOES_EAST        1048243           read
            larccld.fd                GOES_WEST         823981           read
           metarcld.fd                raw_METAR           5377           read
           metarcld.fd       METAR_on_MPAS_mesh        1111491      processed
          lightning.fd            raw_lightning          37348           read
          lightning.fd   lightning_on_MPAS_mesh           5283      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1111491       ingested
      cloudanalysis.fd                lightning           5283       ingested
      cloudanalysis.fd                     refl             33       ingested
