               program              observation         number         status
            larccld.fd                GOES_EAST        1042762           read
            larccld.fd                GOES_WEST         826021           read
           metarcld.fd                raw_METAR           5708           read
           metarcld.fd       METAR_on_MPAS_mesh        1069201      processed
          lightning.fd            raw_lightning          57004           read
          lightning.fd   lightning_on_MPAS_mesh           2496      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           68.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1069201       ingested
      cloudanalysis.fd                lightning           2496       ingested
      cloudanalysis.fd                     refl             33       ingested
