        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3932637  3932637  3932637  3796501  3796501            5     0.414916     0.414916
     adpsfc_t181     9250      369      369      345      345       0.7528      2.87476      1.09854
     adpsfc_t183     9250      212      212      210      210  3.45033e+09     0.223856     0.109944
     adpsfc_t187     9250     2039     2039     2039     2039       2.2585     0.385951     0.249353
     adpsfc_q181     9250     3242     3242     3240     3240      941.048      0.12791    0.0628887
     adpsfc_q183     9250     3451     3451     3447     3447       968.54     0.029236    0.0121438
     adpsfc_q187     9250     2367     2367     2365     2365      392.461      1.42092      0.44526
    adpsfc_ps181     9250      370      370      368      368      55.7999     0.876421     0.254475
    adpsfc_ps187     9250     1938     1938     1938     1938      55.0121      1.01706     0.285462
    adpsfc_uv281     9250      658      658      654      654      1.72231      0.50489     0.239308
    adpsfc_uv284     9250      420      420      414      414      1.28764      0.93035     0.345091
    adpsfc_uv287     9250     4040     4040     4016     4016       1.5874     0.573239     0.329198
     aircar_t133    35836    14645    14645    14634    14634     0.988085     0.544342     0.256464
     aircar_q133    35836     1119     1119     1119     1119     0.305926     0.281168      0.14526
    aircar_uv233    35836    29450    29450    29420    29420      2.33817     0.659205     0.240046
     sfcshp_t180     3236      678      678      678      678  7.68095e+08     0.175901     0.109464
     sfcshp_t183     3236       58       58       58       58  1.85695e+09     0.128613     0.126997
     sfcshp_q180     3236      461      461      461      461   0.00108867      1.79153     0.462701
     sfcshp_q183     3236      322      322      322      322      933.234     0.153549      0.14234
    sfcshp_ps180     3236     1284     1284     1277     1276      38.2383      2.82923      0.75729
    sfcshp_uv280     3236     2030     2030     2030     2030      2.65136      0.36256     0.164277
    sfcshp_uv282     3236       44       44       42       42      1.07918      2.49865     0.121723
    sfcshp_uv284     3236      296      296      292      292      1.11961      1.68515     0.307264
