               program              observation         number         status
            larccld.fd                GOES_EAST        1052492           read
            larccld.fd                GOES_WEST         821599           read
           metarcld.fd                raw_METAR           5442           read
           metarcld.fd       METAR_on_MPAS_mesh        1063868      processed
          lightning.fd            raw_lightning          66406           read
          lightning.fd   lightning_on_MPAS_mesh           7970      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1063868       ingested
      cloudanalysis.fd                lightning           7970       ingested
      cloudanalysis.fd                     refl             33       ingested
