               program              observation         number         status
            larccld.fd                GOES_EAST        1045591           read
            larccld.fd                GOES_WEST         823576           read
           metarcld.fd                raw_METAR           5652           read
           metarcld.fd       METAR_on_MPAS_mesh        1115658      processed
          lightning.fd            raw_lightning          14505           read
          lightning.fd   lightning_on_MPAS_mesh           1453      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           57.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1115658       ingested
      cloudanalysis.fd                lightning           1453       ingested
      cloudanalysis.fd                     refl             33       ingested
