               program              observation         number         status
            larccld.fd                GOES_EAST        1042086           read
            larccld.fd                GOES_WEST         824917           read
           metarcld.fd                raw_METAR           5622           read
           metarcld.fd       METAR_on_MPAS_mesh        1057723      processed
          lightning.fd            raw_lightning          23130           read
          lightning.fd   lightning_on_MPAS_mesh           1394      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           57.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1057723       ingested
      cloudanalysis.fd                lightning           1394       ingested
      cloudanalysis.fd                     refl             33       ingested
