        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3888249  3888249  3888249  3755067  3755067            5     0.505222     0.505222
     adpsfc_t181    10615      589      589      578      578       0.7528       1.6537     0.520653
     adpsfc_t183    10615      224      224      222      222  3.55142e+09    0.0506346    0.0225759
     adpsfc_t187    10615     2115     2115     2110     2110       2.2585     0.148516     0.104665
     adpsfc_q181    10615     3681     3681     3678     3678      916.262    0.0666521    0.0394997
     adpsfc_q183    10615     3903     3903     3898     3898      970.399    0.0174731    0.0101897
     adpsfc_q187    10615     2658     2658     2655     2655      468.532      0.42195     0.274217
    adpsfc_ps181    10615      591      591      581      581      55.1895      1.42789     0.521362
    adpsfc_ps187    10615     1956     1956     1955     1955      54.7803      1.62123     0.338958
    adpsfc_uv281    10615     1154     1154     1146     1146      1.70268     0.720592     0.323587
    adpsfc_uv284    10615      452      452      434      434       1.2862      1.04111     0.400111
    adpsfc_uv287    10615     4122     4122     4082     4082       1.5874     0.714261     0.407583
     adpupa_t120    43507    20352    20352    20352    20352  5.44281e+19    0.0559763    0.0306683
     adpupa_q120    43507    10263    10263    10263    10263       1.4944     0.112766    0.0415477
    adpupa_ps120    43507      126      126      125      125      70.9975     0.884152     0.330693
    adpupa_uv220    43507    46180    46180    46180    46180  5.86318e+19     0.523357     0.174565
     aircar_t133    74480    32104    32104    32086    32086     0.924584     0.395732     0.245401
     aircar_q133    74480     2202     2202     2202     2202     0.277642     0.350772     0.226086
    aircar_uv233    74480    64900    64900    64796    64796       2.3288     0.605229     0.322086
     sfcshp_t180     6447     1453     1453     1449     1449  5.87423e+08       0.0534    0.0386991
     sfcshp_t183     6447       74       74       74       74      7.05484     0.253222     0.170574
     sfcshp_q180     6447      832      832      828      828   0.00105809     0.489431     0.268354
     sfcshp_q183     6447      502      502      498      498      942.221    0.0742711    0.0405636
    sfcshp_ps180     6447     2147     2147     2130     2130      38.1683       4.6233     0.815222
    sfcshp_uv280     6447     3314     3314     3308     3308       2.6471     0.411307     0.172621
    sfcshp_uv282     6447       74       74       74       74      1.08404      1.93852     0.247746
    sfcshp_uv284     6447      380      380      332      332      1.11407      2.17848     0.744271
