               program              observation         number         status
            larccld.fd                GOES_EAST        1037704           read
            larccld.fd                GOES_WEST         821511           read
           metarcld.fd                raw_METAR           6446           read
           metarcld.fd       METAR_on_MPAS_mesh        1100359      processed
          lightning.fd            raw_lightning          78424           read
          lightning.fd   lightning_on_MPAS_mesh           7310      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           69.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1100359       ingested
      cloudanalysis.fd                lightning           7310       ingested
      cloudanalysis.fd                     refl             33       ingested
