               program              observation         number         status
            larccld.fd                GOES_EAST        1038883           read
            larccld.fd                GOES_WEST         824516           read
           metarcld.fd                raw_METAR           7202           read
           metarcld.fd       METAR_on_MPAS_mesh        1103166      processed
          lightning.fd            raw_lightning          56757           read
          lightning.fd   lightning_on_MPAS_mesh           7108      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           69.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1103166       ingested
      cloudanalysis.fd                lightning           7108       ingested
      cloudanalysis.fd                     refl             33       ingested
