        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3907950  3907950  3907950  3772601  3772601            5     0.355614     0.355614
     adpsfc_t181     9689      590      590      579      579       0.7528      2.54586     0.710793
     adpsfc_t183     9689      217      217      215      215  3.27073e+09    0.0999294     0.035298
     adpsfc_t187     9689     2115     2115     2112     2112       2.2585     0.205725     0.135594
     adpsfc_q181     9689     3333     3333     3330     3330       906.85    0.0850354    0.0488958
     adpsfc_q183     9689     3548     3548     3543     3543      968.505    0.0164917   0.00985569
     adpsfc_q187     9689     2661     2661     2658     2658      469.069     0.467618     0.284857
    adpsfc_ps181     9689      589      589      582      582      55.1895      1.51479     0.519164
    adpsfc_ps187     9689     1958     1958     1956     1956      54.7361      1.72793     0.308459
    adpsfc_uv281     9689     1116     1116     1106     1106      1.70396     0.566438     0.262506
    adpsfc_uv284     9689      430      430      424      424       1.2838     0.953438     0.427202
    adpsfc_uv287     9689     3802     3802     3792     3792       1.5874     0.629527     0.357921
     adpupa_t120    13938     6478     6478     6478     6478      3.24754    0.0506634    0.0237574
     adpupa_q120    13938     3526     3526     3526     3526      1.21776    0.0849659    0.0340201
    adpupa_ps120    13938       38       38       38       38      73.4323      2.21378     0.394376
    adpupa_uv220    13938    14860    14860    14860    14860      2.63195      0.42666     0.157789
     aircar_t133    55483    24490    24490    24482    24482     0.917778     0.334191     0.196069
     aircar_q133    55483     1957     1957     1956     1956     0.480007     0.354227     0.228352
    aircar_uv233    55483    49224    49224    49202    49202      2.32704     0.386518     0.189035
     sfcshp_t180     3067      638      638      638      638  1.04746e+09    0.0715305    0.0611034
     sfcshp_t183     3067       58       58       58       58  1.85695e+09     0.100699    0.0891944
     sfcshp_q180     3067      423      423      423      423   0.00115177     0.482798     0.295609
     sfcshp_q183     3067      268      268      268      268      917.386    0.0737754    0.0396201
    sfcshp_ps180     3067      729      729      706      705      38.0481      3.46892     0.816729
    sfcshp_uv280     3067     1198     1198     1198     1198      2.64771     0.289664     0.157284
    sfcshp_uv282     3067       44       44       44       44      1.07948      1.77551     0.223378
    sfcshp_uv284     3067      246      246      240      240      1.12436      2.11292     0.382418
