               program              observation         number         status
            larccld.fd                GOES_EAST        1047023           read
            larccld.fd                GOES_WEST         818339           read
           metarcld.fd                raw_METAR           7314           read
           metarcld.fd       METAR_on_MPAS_mesh        1092346      processed
          lightning.fd            raw_lightning          11872           read
          lightning.fd   lightning_on_MPAS_mesh            932      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           60.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1092346       ingested
      cloudanalysis.fd                lightning            932       ingested
      cloudanalysis.fd                     refl             33       ingested
