               program              observation         number         status
            larccld.fd                GOES_EAST        1045633           read
            larccld.fd                GOES_WEST         819008           read
           metarcld.fd                raw_METAR           4819           read
           metarcld.fd       METAR_on_MPAS_mesh        1098042      processed
          lightning.fd            raw_lightning          55480           read
          lightning.fd   lightning_on_MPAS_mesh           6354      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1098042       ingested
      cloudanalysis.fd                lightning           6354       ingested
      cloudanalysis.fd                     refl             33       ingested
