        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
        refl10cm  3917783  3917783  3917783  3783308  3783308            5      0.34473      0.34473
     adpsfc_t181     8961      374      374      360      360       0.7528      2.20919     0.559001
     adpsfc_t183     8961      213      213      211      211  3.44214e+09    0.0983268    0.0522895
     adpsfc_t187     8961     2118     2118     2114     2114       2.2585     0.223045     0.151142
     adpsfc_q181     8961     3073     3073     3070     3070      936.868    0.0562596    0.0335818
     adpsfc_q183     8961     3284     3284     3279     3279      966.638    0.0177342   0.00952963
     adpsfc_q187     8961     2449     2449     2446     2446      388.542     0.444724     0.290012
    adpsfc_ps181     8961      375      375      373      373      55.5384      1.44236     0.259233
    adpsfc_ps187     8961     1987     1987     1986     1986      54.7744      1.86993      0.28557
    adpsfc_uv281     8961      650      650      642      642       1.7229      0.97212     0.403852
    adpsfc_uv284     8961      422      422      408      408      1.28868      1.69437     0.552528
    adpsfc_uv287     8961     3934     3934     3926     3926       1.5874     0.742257     0.435417
     adpupa_t120     6718     1703     1703     1703     1703  8.37319e+19     0.206975     0.131638
     adpupa_q120     6718      255      255      255      255     0.415264     0.178675    0.0887838
    adpupa_ps120     6718        2        2        1        1      83.8926      2.47125      1.32188
    adpupa_uv220     6718     5128     5128     5128     5128  1.15786e+20     0.470126     0.259464
     aircar_t133    58971    25546    25546    25524    25524     0.933509     0.375338     0.209336
     aircar_q133    58971     2140     2140     2140     2140     0.312063     0.285468     0.160053
    aircar_uv233    58971    51412    51412    51386    51386       2.3291     0.415189     0.216257
     sfcshp_t180     3255      694      694      694      694  6.57477e+08    0.0895759    0.0774474
     sfcshp_t183     3255       43       43       43       43  1.52499e+09     0.157201     0.149416
     sfcshp_q180     3255      477      477      477      477   0.00111761     0.490107     0.307209
     sfcshp_q183     3255      296      296      296      296      945.241     0.177174     0.127298
    sfcshp_ps180     3255     1307     1307     1303     1302      38.4567      3.95685      0.74191
    sfcshp_uv280     3255     2086     2086     2086     2086      2.65032     0.225924     0.128477
    sfcshp_uv282     3255       36       36       36       36      1.07921     0.631407     0.153628
    sfcshp_uv284     3255      234      234      230      230      1.13799      1.88828     0.528468
