        observer   n_ioda     nobs   nobs_r  n_loop1  n_loop2       obserr       Jo/n_1       Jo/n_2
     adpsfc_t181     9929     3837      593      582      582       0.7528      2.08694     0.653655
     adpsfc_t183     9929     3837      223      221      221  3.22603e+09     0.117245    0.0392284
     adpsfc_t187     9929     2971     2114     2114     2114       2.2585     0.183757     0.141968
     adpsfc_q181     9929     3735     3471     3469     3469      910.564    0.0872116    0.0408465
     adpsfc_q183     9929     3735     3692     3688     3688      968.885    0.0239867    0.0110357
     adpsfc_q187     9929     2913     2652     2650     2650      470.177     0.487038     0.278539
    adpsfc_ps181     9929     7742      594      586      586      55.0089      2.32979     0.532581
    adpsfc_ps187     9929     3017     1956     1955     1955      54.9994      2.40736     0.314625
    adpsfc_uv281     9929     7512     1162     1158     1158      1.70468     0.394559     0.192336
    adpsfc_uv284     9929     9438      448      442      442      1.28069     0.797018     0.316694
    adpsfc_uv287     9929     5842     4166     4162     4162       1.5874     0.413591     0.254795
     adpupa_t120    26399    12478    12478    12441    12441  5.65837e+19    0.0671737    0.0369577
     adpupa_q120    26399     6372     6372     6345     6345     0.838513     0.124382    0.0481387
    adpupa_ps120    26399       77       77       77       77      70.3269      1.28983     0.315048
    adpupa_uv220    26399    27788    27788    27738    27738  5.91532e+19     0.431496     0.155831
     aircar_t133    48955    22404    22404    22394    22394      0.94854     0.454025     0.224812
     aircar_q133    48955     1814     1814     1814     1814     0.422161     0.363142     0.224915
    aircar_uv233    48955    45210    45210    45176    45176      2.33067     0.613954     0.266178
     sfcshp_t180     6647     2460     1890     1888     1888  6.90431e+08    0.0736272    0.0510207
     sfcshp_t183     6647     1236      103      103      103  2.20326e+09     0.206231    0.0788631
     sfcshp_q180     6647     1141      917      915      915   0.00107717     0.491112     0.179452
     sfcshp_q183     6647      584      528      526      526      945.329    0.0196528    0.0163374
    sfcshp_ps180     6647     6624     2608     2595     2595      38.2387      2.86109     0.597983
    sfcshp_uv280     6647     5680     4194     4188     4188      2.65234     0.279354     0.120212
    sfcshp_uv282     6647     5680       80       80       80      1.08964     0.550132     0.163092
    sfcshp_uv284     6647     5680      514      500      500      1.13357       1.4508     0.221572
