               program              observation         number         status
            larccld.fd                GOES_EAST        1048617           read
            larccld.fd                GOES_WEST         816497           read
           metarcld.fd                raw_METAR           7234           read
           metarcld.fd       METAR_on_MPAS_mesh        1083221      processed
          lightning.fd            raw_lightning          40208           read
          lightning.fd   lightning_on_MPAS_mesh           2167      processed
   refmosaic_nonvar.fd                 n_levels              0           read
   refmosaic_nonvar.fd                  max_val              0           read
   refmosaic_nonvar.fd                  min_val              0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1083221       ingested
      cloudanalysis.fd                lightning           2167       ingested
      cloudanalysis.fd                     refl              0       not_used
