               program              observation         number         status
            larccld.fd                GOES_EAST        1040991           read
            larccld.fd                GOES_WEST         822176           read
           metarcld.fd                raw_METAR           7110           read
           metarcld.fd       METAR_on_MPAS_mesh        1105179      processed
          lightning.fd            raw_lightning          51769           read
          lightning.fd   lightning_on_MPAS_mesh           5684      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           66.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1105179       ingested
      cloudanalysis.fd                lightning           5684       ingested
      cloudanalysis.fd                     refl             33       ingested
