               program              observation         number         status
            larccld.fd                GOES_EAST        1043891           read
            larccld.fd                GOES_WEST         821378           read
           metarcld.fd                raw_METAR           5965           read
           metarcld.fd       METAR_on_MPAS_mesh        1100588      processed
          lightning.fd            raw_lightning          19073           read
          lightning.fd   lightning_on_MPAS_mesh           2697      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           64.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1100588       ingested
      cloudanalysis.fd                lightning           2697       ingested
      cloudanalysis.fd                     refl             33       ingested
