               program              observation         number         status
            larccld.fd                GOES_EAST        1041601           read
            larccld.fd                GOES_WEST         828143           read
           metarcld.fd                raw_METAR           5794           read
           metarcld.fd       METAR_on_MPAS_mesh        1052209      processed
          lightning.fd            raw_lightning          32511           read
          lightning.fd   lightning_on_MPAS_mesh           3781      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           62.0           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1052209       ingested
      cloudanalysis.fd                lightning           3781       ingested
      cloudanalysis.fd                     refl             33       ingested
