               program              observation         number         status
            larccld.fd                GOES_EAST        1034528           read
            larccld.fd                GOES_WEST         828754           read
           metarcld.fd                raw_METAR           5585           read
           metarcld.fd       METAR_on_MPAS_mesh        1059683      processed
          lightning.fd            raw_lightning          12766           read
          lightning.fd   lightning_on_MPAS_mesh            795      processed
   refmosaic_nonvar.fd                 n_levels             33           read
   refmosaic_nonvar.fd                  max_val           59.5           read
   refmosaic_nonvar.fd                  min_val         -999.0           read
      cloudanalysis.fd                nasa_larc        2341818       ingested
      cloudanalysis.fd                    METAR        1059683       ingested
      cloudanalysis.fd                lightning            795       ingested
      cloudanalysis.fd                     refl             33       ingested
